id,product_name,description,category,subcategory,brand,gender_target,sustainability_score,season,price,is_active
1,Running Shoe ClimaTex,"ClimaTex Running — men, SS2026. Sustainability score 9.38/10.",Footwear,Running,ClimaTex,men,9.38,SS2026,68.5,True
2,Running Shoe PureMove,"PureMove Running — men, SS2025. Sustainability score 6.4/10.",Footwear,Running,PureMove,men,6.4,SS2025,109.68,True
3,Running Shoe NaturaPro,"NaturaPro Running — men, SS2025. Sustainability score 9.47/10.",Footwear,Running,NaturaPro,men,9.47,SS2025,66.52,True
4,Running Shoe ClimaTex,"ClimaTex Running — men, SS2025. Sustainability score 7.91/10.",Footwear,Running,ClimaTex,men,7.91,SS2025,126.29,True
5,Running Shoe ClimaTex,"ClimaTex Running — men, SS2026. Sustainability score 6.31/10.",Footwear,Running,ClimaTex,men,6.31,SS2026,125.29,True
6,Running Shoe Terracycle,"Terracycle Running — men, AW2025. Sustainability score 7.17/10.",Footwear,Running,Terracycle,men,7.17,AW2025,89.08,True
7,Running Shoe PureMove,"PureMove Running — men, SS2025. Sustainability score 5.65/10.",Footwear,Running,PureMove,men,5.65,SS2025,91.98,True
8,Running Shoe GreenLine,"GreenLine Running — men, AW2025. Sustainability score 6.24/10.",Footwear,Running,GreenLine,men,6.24,AW2025,120.48,True
9,Running Shoe NeoFit,"NeoFit Running — women, SS2025. Sustainability score 7.28/10.",Footwear,Running,NeoFit,women,7.28,SS2025,115.73,True
10,Running Shoe Terracycle,"Terracycle Running — women, SS2026. Sustainability score 8.77/10.",Footwear,Running,Terracycle,women,8.77,SS2026,102.19,True
11,Running Shoe ClimaTex,"ClimaTex Running — women, AW2025. Sustainability score 7.01/10.",Footwear,Running,ClimaTex,women,7.01,AW2025,111.24,True
12,Running Shoe NeoFit,"NeoFit Running — women, AW2025. Sustainability score 8.43/10.",Footwear,Running,NeoFit,women,8.43,AW2025,76.61,True
13,Running Shoe ClimaTex,"ClimaTex Running — women, SS2026. Sustainability score 8.91/10.",Footwear,Running,ClimaTex,women,8.91,SS2026,115.64,True
14,Running Shoe PureMove,"PureMove Running — women, AW2025. Sustainability score 6.05/10.",Footwear,Running,PureMove,women,6.05,AW2025,92.17,True
15,Running Shoe EcoWear,"EcoWear Running — women, AW2025. Sustainability score 7.13/10.",Footwear,Running,EcoWear,women,7.13,AW2025,75.68,True
16,Running Shoe NaturaPro,"NaturaPro Running — women, SS2026. Sustainability score 8.57/10.",Footwear,Running,NaturaPro,women,8.57,SS2026,119.25,True
17,Urban Sneaker GreenLine,"GreenLine Casual — unisex, SS2026. Sustainability score 3.65/10.",Footwear,Casual,GreenLine,unisex,3.65,SS2026,69.77,True
18,Urban Sneaker UrbanStep,"UrbanStep Casual — unisex, AW2026. Sustainability score 5.26/10.",Footwear,Casual,UrbanStep,unisex,5.26,AW2026,88.71,True
19,Urban Sneaker EcoWear,"EcoWear Casual — unisex, AW2025. Sustainability score 5.14/10.",Footwear,Casual,EcoWear,unisex,5.14,AW2025,81.12,True
20,Urban Sneaker UrbanStep,"UrbanStep Casual — unisex, SS2026. Sustainability score 7.38/10.",Footwear,Casual,UrbanStep,unisex,7.38,SS2026,68.47,True
21,Urban Sneaker NaturaPro,"NaturaPro Casual — unisex, AW2026. Sustainability score 6.91/10.",Footwear,Casual,NaturaPro,unisex,6.91,AW2026,77.49,True
22,Urban Sneaker NeoFit,"NeoFit Casual — unisex, AW2026. Sustainability score 7.05/10.",Footwear,Casual,NeoFit,unisex,7.05,AW2026,76.34,True
23,Urban Sneaker EcoWear,"EcoWear Casual — unisex, SS2026. Sustainability score 4.44/10.",Footwear,Casual,EcoWear,unisex,4.44,SS2026,75.87,True
